Complexity,Loss,Equation
1,35.68368,"5.4668274"
3,23.401947,"x0 + 5.4681025"
5,8.910358,"square(sin(x0) + 2.3864882)"
6,2.3799038,"(sin(x0) + 0.6617834) * 8.262712"
8,0.10133853,"(sin(x0 + -18.599442) * 8.527979) - -5.5195904"
10,0.071357846,"(sin((x0 + 0.24332987) / 0.98567617) / 0.11667993) + 5.5484214"
11,0.013922995,"(cos(1.3955798 - x0) + 0.64713544) * (cos(x0) - -8.391684)"
12,0.011689859,"(sin(cos(x0)) - -8.4062805) * (cos(1.3862026 - x0) + 0.6467365)"
13,0.010626887,"(cos(x0 - 1.3917651) + 0.6454618) * (cos(0.17533502 - x0) - -8.282497)"
15,0.010466646,"(cos(x0 - 1.3901132) + 0.6463999) * (cos((x0 * 0.96433926) + -0.1530854) - -8.250743)"
16,0.008626429,"(sin(0.16327079 - x0) * -5.3629365) + square((cos(0.7835394 - x0) / 1.0712235) + 2.2547069)"
17,0.0068024253,"(cos((x0 * 0.99312454) - 1.393334) + 0.6439013) * (cos((x0 + -0.20669888) / 0.9341419) - -8.321096)"
18,0.0054509095,"square(cos(x0 - 0.8796056) + 1.6687726) + ((-5.041814 - cos(sin(x0))) * (-0.38496983 - sin(x0)))"
20,0.0036853973,"square((cos(0.7853723 - x0) + 2.4166856) / 1.0717345) + ((-4.701063 - cos(sin(x0))) * sin(0.15523471 - x0))"
22,0.0036696733,"((-4.7629833 - cos(cos(square(cos(x0))))) * sin(0.15702474 - x0)) + square((cos(x0 - 0.7860199) / 1.0714288) + 2.2547586)"
23,0.0032267615,"square((2.4496436 + cos(0.7884761 - x0)) / 1.0852635) + ((-4.738924 - cos(square(cos(square(cos(x0)))))) * sin(0.14907026 - x0))"
24,0.003197368,"square((cos(x0 - 0.7750642) + 2.309924) / 1.0287805) + ((-4.691551 - cos(cos(square(cos(x0 / 0.88545036))))) * sin(0.18581723 - x0))"
25,0.003072775,"(square((cos(x0 - 0.7860998) + 2.455582) / 1.082164) + ((-4.738433 - cos(square(cos(square(cos(x0)))))) * sin(0.15314765 - x0))) - 0.057071105"
30,0.0027596303,"square((cos(0.7861777 - x0) + 2.401272) / 1.0656431) + ((-4.711532 - cos(cos(cos(x0) * (cos(x0) / cos(cos(x0 / -0.88691646)))))) * sin(0.15744883 - x0))"
