Complexity,Loss,Equation
1,51.83025,"6.442495"
3,37.84798,"x0 + 6.441967"
5,29.826454,"(x0 + 2.5527234) * 2.5238614"
6,28.762833,"abs((x0 - -2.2767072) * 2.7342422)"
7,21.529285,"abs(square(x0 - 1.3362514) - 11.561872)"
9,4.2530684,"(x0 + 1.1206925) * abs(square(x0) + -8.6313925)"
11,1.3768057,"square((abs(x0 + -1.0502301) + -2.6691506) * 1.6729012) + x0"
12,0.86889255,"x0 + square(abs(abs(x0 + -1.050834) + -2.7620637) * -1.6651852)"
13,0.7984556,"(x0 + square((abs(x0 + -1.0133127) + -2.632502) * -1.4059532)) * 1.516126"
15,0.7301232,"square((-5.2933774 + abs((-2.047075 + x0) + x0)) * 0.8664024) + (x0 * 1.3462965)"
16,0.21187301,"((x0 + (square(x0) - abs(square(x0 + 3.1297705) - 16.41045))) * 1.5582684) + 18.29652"
19,0.06690606,"((square(x0 + 0.25919777) - abs((abs(x0) - -13.100289) - square(x0 + 2.8375936))) * 1.8149968) + 17.985666"
21,0.06401472,"(x0 + 18.084034) + ((square(x0) - abs((abs(x0) - -13.1445465) - (square(x0 + 2.7955246) * 1.0245565))) * 1.7826574)"
25,0.06311498,"((square(x0) - abs(((abs(x0 * -0.8565583) - -13.227526) + 0.09006937) - square(x0 + 2.8547826))) * 1.786066) + ((x0 / 0.8951523) + 18.03573)"
26,0.046345696,"(((square(x0) - abs((abs(0.47091565 - x0) - -12.30866) - square(x0 + 2.6218004))) * 1.7451676) - abs(x0)) + (19.004904 - (x0 / -1.419677))"
27,0.045534234,"(18.995338 - (x0 / -1.4022578)) + (((abs(square(x0)) - abs((abs(x0 - 0.45426598) - -12.227349) - square(x0 + 2.612504))) * 1.759664) - abs(x0))"
28,0.038032845,"(((square(x0) - abs((abs(x0 - 0.3870962) - -12.326276) - square(x0 + 2.6310089))) * 1.7216574) - abs(0.30848813 - x0)) + (18.772142 - (x0 / -1.6318872))"
29,0.024460161,"(((square(abs(x0)) - abs((abs(x0 - 0.13542116) - -11.340238) - square(x0 + 2.605027))) * 1.8006581) - abs(1.5278572 - x0)) + (18.703512 - (x0 / -1.464578))"
