Complexity,Loss,Equation
1,35.68368,"5.4680643"
3,23.401947,"x0 - -5.468094"
5,17.762512,"(x0 * 2.2777245) - -5.468105"
9,4.4342775,"((8.490555 - (x0 * x0)) * x0) + 5.468091"
11,2.3526714,"(x0 * (((-0.4673925 - x0) * x0) - -8.49063)) + 7.0826507"
13,0.9414885,"((x0 + 0.6120041) * ((x0 * (x0 * -0.76369506)) + 7.0224876)) - -2.7848325"
15,0.75166273,"(x0 + 1.066873) * (((((x0 * 0.04575378) + -0.81337357) * x0) * x0) + 7.024584)"
17,0.018206133,"((x0 + 0.48077822) * ((24.89272 / (1.563398 - ((x0 * -0.22871444) * x0))) + -6.49076)) + 3.0641327"
19,0.010697672,"((x0 + 0.39372852) * ((18.274048 / (1.1217644 - (((x0 - -0.19106157) * -0.1579259) * x0))) + -6.790399)) + 3.970184"
21,0.007911197,"(((x0 * ((x0 / (((x0 * x0) * -0.061829183) + -0.4527463)) - -0.19478369)) + 9.156036) * (x0 + 0.6780715)) - -1.5172493"
23,0.0074378722,"((x0 + 0.6471218) * (((((x0 / (((x0 * x0) * -0.14722575) + -1.0744323)) - -0.06927866) * x0) * 2.3829122) + 9.200008)) - -1.7488116"
25,0.0047173295,"((x0 + 0.88955534) * (((x0 * ((x0 * 0.10157975) + -1.0972089)) * x0) + 9.574845)) / (1.1210643 - ((-0.14353018 * x0) * (x0 + -0.7741079)))"
27,0.0037719463,"(((((x0 * x0) * -0.8245674) + 8.13855) * (x0 + 0.44894102)) / (0.87046117 - ((x0 - ((x0 * -0.081477575) * x0)) * (x0 * -0.11799561)))) + 3.421251"
29,0.0037718466,"(((x0 * (x0 * -0.8245669)) + 8.138551) * ((x0 + 0.44893873) / (0.8704878 - ((x0 * -0.11800681) * (x0 - ((x0 + -0.0036723395) * (x0 * -0.0814755))))))) + 3.421251"
