Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248387 - x0"
4,2.5101082,"abs(x0) + -4.333968"
5,2.0760255,"(x0 * -0.5950996) + -2.724832"
6,1.3777378,"abs(x0 + -1.483548) + -4.676582"
8,1.0886146,"2.5560431 / (x0 - abs(x0 + 0.66321176))"
9,0.8955866,"74.75129 / (-17.090292 - square(square(0.9939403 - x0)))"
10,0.5572958,"8.741367 / (-1.4755571 - abs(x0 * (x0 - 1.9771972)))"
11,0.21715988,"3.3642464 / (-0.61485595 - square(abs(x0 - 0.9424777) - 0.9341127))"
12,0.20972513,"2.709955 / (-0.5523668 - square(square(0.9978888 - abs(0.9412762 - x0))))"
14,0.15757658,"(1.7711875 / (-0.39281318 - square(square(0.98001385 - abs(x0 - 0.94167787))))) + -0.47398254"
16,0.15414198,"(2.3414917 / (-0.4927874 - square(-0.096022025 - square(0.9742819 - abs(x0 - 0.9414293))))) + -0.43456063"
17,0.108655535,"9.397909 / ((square(square(abs(abs(0.94196725 - x0) - 3.0567925) - 2.0599322)) * -3.5196166) - 1.9127896)"
18,0.09686072,"(9.930087 / ((square(2.151233 - abs(3.1099658 - abs(x0 - 0.94105864))) * -1.4155791) - 1.4842944)) + 1.3657348"
19,0.084700525,"6.772559 / ((square(square(0.9420092 - abs(x0 - 0.9372974))) * (abs(0.7895403 - x0) - 3.961082)) + -1.3592739)"
21,0.08293653,"6.774982 / (((abs(0.9839859 - x0) - 4.1530423) * (square(square(0.96075535 - abs(0.93699294 - x0))) - 0.058963694)) + -1.5379721)"
22,0.03448304,"11.074597 / ((-1.2350247 - abs(x0 - 0.95316964)) + (square(square(1.9413677 - abs(3.0691156 - abs(x0 - 0.94021827)))) * -3.8465953))"
24,0.02953134,"(11.385375 / (-1.1789914 + ((square(square(1.8865427 - abs(abs(0.9383603 - x0) - 3.0429146))) * -3.1204848) - abs(0.95125616 - x0)))) + 0.27576753"
26,0.0295155,"0.27277964 + (10.721569 / ((-1.1201305 + (-2.9526067 * square(square(1.888698 - abs(3.04325 - abs(0.93902266 - x0)))))) - abs((x0 - 0.9523689) / 1.0717549)))"
30,0.029082496,"(10.384841 / (((square(square(abs(abs(0.9421388 - x0) - 3.0500312) - 1.8986268)) * -2.9328666) + -1.0565819) + ((x0 * -0.041202422) - abs(0.9015374 - (x0 / 1.1062053))))) - -0.24464867"
