Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248187 - x0"
5,2.0760252,"(x0 + 4.578834) * -0.5950844"
7,1.8094918,"(-22.713152 / (-6.509084 - x0)) + -6.549501"
8,1.3819349,"-20.81799 / (square(x0 + -1.2018312) + 4.6278377)"
9,0.89558655,"-74.697205 / (square(square(0.99383175 - x0)) + 17.076992)"
10,0.5813823,"-23.286716 / (square(x0 * (2.067048 - x0)) + 4.8584313)"
11,0.48088673,"-19.088633 / (square(square(x0 + -0.943092) + -1.303193) + 3.7688937)"
12,0.3723624,"-10.675592 / square(((0.46861055 / (x0 + -0.937625)) + x0) + -0.94868684)"
14,0.35009348,"-11.862835 / (square((x0 + (-0.42956817 / (x0 + -0.91414654))) + -1.0168865) + 2.1393428)"
15,0.16055007,"-56.837757 / (square((0.6400853 / (x0 + -0.9121669)) + square(x0 + -1.0998553)) + 10.346458)"
16,0.1383353,"-51.83956 / (square(0.6572677 / (x0 + -0.92600787)) + (square(square(x0 + -0.96173894)) + 8.821303))"
17,0.1300081,"-30.047985 / (square(x0 * (x0 - 1.8786535)) + (square(0.38142073 / (x0 + -0.91155624)) + 5.672149))"
18,0.11262813,"-50.329315 / (((0.58898073 / (square(x0 + -0.92797273) + 0.013716686)) + 8.238931) + square(square(x0 + -0.9597508)))"
19,0.11164634,"(-22.991652 / (square(-0.37159568 / (0.9184619 - x0)) + (square(x0 * (x0 - 1.8864232)) + 4.531466))) + -0.3054492"
20,0.06696157,"-28.562212 / (square(11.559401 / (square(0.6730391 - (x0 * 0.7117464)) - 5.3598957)) + (0.23758328 / square(0.92619133 - x0)))"
22,0.045614,"-24.644028 / (square((9.911686 / (4.4421678 - square((x0 - 0.95172685) * 0.65855974))) + -0.30260676) + (0.2475014 / square(0.927696 - x0)))"
24,0.010316339,"-24.622662 / ((0.4027034 / (square(0.9290114 - x0) - -0.023209704)) + square((9.993044 / (4.2534943 - square((x0 - 0.9486075) * 0.65306526))) + -0.5053991))"
26,0.0064308657,"-28.501135 / (square((11.837011 / (4.784236 - square(0.67139983 - (x0 * 0.7099165)))) + -0.8889145) + (1.7557116 + (0.38081458 / (0.016445499 + square(0.9281352 - x0)))))"
28,0.0064189304,"(-28.502972 / (square((11.829307 / (4.80394 - square((x0 * 0.7112739) - 0.6726249))) + -0.87989974) + ((0.37937272 / (square(0.92816484 - x0) + 0.016793847)) + 1.7574666))) + 0.01429586"
