Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248425 - x0"
5,2.0760252,"(-4.5785728 - x0) * 0.59512514"
7,2.07579,"(-9186.219 - (x0 * 0.59717476)) + 9183.49"
8,1.4596232,"(square(x0 + -1.169929) * 0.2543407) + -3.9515476"
9,1.0410004,"square(square(x0 + -1.0487419) + -12.245028) * -0.031432625"
11,1.0127952,"-0.31819645 - square(square((x0 * 0.41463947) - 0.43560144) - 2.077584)"
12,0.9134633,"square(square(square((x0 * -0.29347956) - 0.7473667) - 1.4132932)) + -4.355416"
13,0.8061707,"square(square(square(square(0.6388471 - (x0 * -0.28484115)) - 1.1949593))) + -4.123052"
14,0.7404549,"square(square(1.6026357 - (square(0.9093886 - x0) * 0.15595761)) + -2.1680603) + -4.1146502"
15,0.2924131,"square(square(square(1.3789234 - square((0.92509466 - x0) * 0.36716786))) + -2.208004) + -4.9896355"
16,0.2331589,"square(square(square(square(1.1854565 - square((x0 - 0.93952245) * 0.28879493)))) + -2.194233) + -5.4072514"
17,0.1544915,"square(square(square(square(square(1.1371471 - square((x0 + -0.93653774) * 0.3146943)))) + -1.4502646)) + -5.0686316"
18,0.13532387,"square(square(square(square(square(square(square((x0 + -0.93532395) * -0.2225081) - 1.0663261)))) + -1.4502909)) + -5.0362105"
19,0.102102034,"square(square(square(square(square(square((x0 + -0.93279606) * 0.32732138) - 1.1031834)) - -0.20677294) + -1.5101056)) + -5.018018"
20,0.06688157,"square(square(square(square(-0.6565163 - square(square(0.9014739 - square((x0 + -0.9346131) * 0.29427975))))) + -1.6548318)) + -5.039456"
22,0.06514521,"square(square(square(square(square(square(0.90597504 - square((x0 + -0.9338268) * 0.29546547))) - -0.65156466)) + -1.686427) * 0.9559984) + -5.0733404"
24,0.05879562,"-5.0395203 + square((x0 * 0.024290176) - square(square(square(square(square(0.90033305 - square((x0 + -0.93057203) * -0.29782724))) - -0.6614816)) + -1.6513388))"
26,0.057972413,"(square((x0 + -1.0360835) * 0.46090493) + -5.2306557) + square(square(square(-0.25080687 - square(square(1.0889713 - square((x0 + -0.9272769) * 0.3583625)))) + -1.3702366))"
27,0.0312791,"(square(square(square(square(square(square((0.9287866 - x0) * -0.33020625) - 1.1213269))) + -1.0694262)) + -1.3647753) - square(2.115047 - square((x0 - 0.9668601) * 0.44480613))"
29,0.03074869,"((square(square(square(square(square(1.1141487 - square(-0.32853603 * (x0 - 0.92902017))))) + -1.0180174)) + -1.1116925) * 1.2596124) - square(square((x0 - 0.96130216) * 0.44640848) - 2.1137388)"
