Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7247891 - x0"
4,2.1495543,"-2.7248702 - sin(x0)"
5,2.0760255,"(-4.5785565 - x0) * 0.5951191"
6,1.7460456,"exp(x0 * -0.48605013) - 4.1857824"
7,1.3977431,"exp(cos(x0 + 2.1995275)) - 4.003945"
8,1.107322,"sin(exp(cos(x0 - 0.93323565))) * -4.5453334"
9,0.5502116,"sin(sin(x0 + 0.62324107) - -0.99532884) * -4.3557634"
10,0.25965837,"sin(exp(cos(x0 - 0.9423155)) + -0.25987446) * -5.062853"
12,0.155796,"(sin(exp(cos(0.94265765 - x0) + -0.103421435)) * -7.7034187) - -2.366672"
15,0.096301466,"((cos(x0 + (exp(cos(x0)) * -2.3094423)) - -1.4550035) * -1.9351294) - sin(x0)"
16,0.095053345,"((-1.4306136 - cos(x0 + (exp(cos(x0)) * -2.283168))) * 1.9866588) - sin(sin(x0))"
17,0.085075006,"((-1.5278817 - cos(x0 + (exp(cos(x0)) * -2.2868881))) * 1.8557824) - cos(x0 - 1.3947829)"
18,0.077159725,"((cos(x0 + (exp(cos(x0 * 1.0715017)) * -2.3807437)) - -1.4517365) * -1.959314) - sin(sin(x0))"
19,0.07510936,"((cos((exp(cos(x0 * 1.0900145)) * -2.3917072) + x0) - -1.4435097) * -1.9764781) - sin(sin(sin(x0)))"
20,0.061504874,"((cos((exp(cos(x0 * 1.0928233)) * -2.3138244) + x0) - -1.3988813) * -2.0928748) - sin(sin(x0) * 2.7620158)"
21,0.05054106,"((cos((exp(cos(x0 * 1.0939362)) * -2.3296142) + x0) - -1.404599) * -2.074178) - sin(sin(sin(x0) * 2.6820781))"
22,0.04718627,"((cos((exp(cos(x0 * 1.0939362)) * -2.3296142) + x0) - -1.404599) * -2.074178) - (sin(sin(x0) * 2.6820781) * 0.8724729)"
23,0.04579501,"((cos((exp(cos(1.0939362 * x0)) * -2.3296142) + x0) - -1.404599) * -2.074178) - (sin(sin(x0) * 2.6820781) * sin(0.9507563))"
24,0.044468813,"(0.48009446 - ((-1.6050164 - cos((x0 + (exp(cos(x0 * 1.0803568)) * -2.2022414)) * 1.050412)) * -2.1166837)) - sin(sin(x0) * 2.7016923)"
25,0.043842927,"((cos((exp(cos(x0 * 1.0939362)) * -2.3296142) + x0) - -1.404599) * -2.074178) - (sin(sin(x0) * (0.9507563 * 2.6820781)) * sin(0.9095817))"
26,0.038877852,"(0.4431472 - ((-1.6691864 - cos((exp(cos(x0) * 1.0886757) * -2.070991) + (x0 * 1.0459304))) * -2.055527)) - sin((sin(x0) * 2.6157496) - -0.17075008)"
27,0.03499865,"(cos(cos(exp(cos(x0)) * -2.4605815)) - ((-1.9071496 - cos(x0 + (exp(cos(x0)) * -2.2677975))) * -1.9109026)) - sin(sin(sin(x0) * 1.864801))"
28,0.030603895,"(square(cos(cos(exp(cos(x0)) * -2.4837666))) - ((-1.8686059 - cos(x0 + (exp(cos(x0)) * -2.2675934))) * -1.8747685)) - sin(sin(sin(x0) * 1.8292353))"
30,0.029667107,"(square(cos(cos(exp(cos(x0)) * -2.4894283))) - ((-1.9022943 - cos((exp(cos(x0)) * -2.2613966) + x0)) * -1.8447344)) - sin(sin(sin(x0 - -0.045292504) * 1.8655049))"
