Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248235 - x0"
4,2.1495543,"-2.7250125 - sin(x0)"
5,2.0760255,"(x0 * -0.59512097) + -2.7248397"
6,1.7460456,"exp(x0 * -0.4860525) + -4.1857886"
7,1.3977427,"exp(sin(x0 + 22.619932)) - 4.0039344"
8,1.1648922,"(-3.65371 - x0) * cos(x0 * -0.40039188)"
9,0.5502116,"sin(sin(-0.62324804 - x0) + -0.99532866) * 4.3558364"
10,0.25965843,"sin(0.25989804 - exp(cos(x0 - 0.94229496))) * 5.0628476"
12,0.18706462,"(0.3081452 - sin(exp(cos(x0 - 0.88331294) - 0.10089103))) * 7.713853"
14,0.15579598,"(0.30727792 - sin(exp(cos((x0 - 0.6699534) + -0.2726986) - 0.103410386))) * 7.704105"
20,0.090850554,"sin(sin((sin(x0 - cos(x0)) * -1.3556985) - x0) + (10.248872 + cos(2.0107038 - x0))) * 4.995496"
21,0.06374385,"((cos(-1.1665525 - x0) + sin(((2.5122938 - sin(x0 - cos(x0))) * 1.309612) - x0)) * 3.3324633) + -3.3876612"
22,0.061383348,"((sin(((-2.0189667 - sin(x0 - cos(x0))) * 1.4850562) - x0) + sin(cos(-1.104891 - x0))) * 3.2738407) + -3.4650404"
23,0.047735825,"((cos(x0 - -1.1219627) + sin(((2.4991767 - sin(x0 - cos(x0 * 1.1060607))) * 1.3196009) - x0)) * 3.6007903) + -3.5220609"
24,0.031382136,"sin(cos(x0 - -1.0449227) + (-0.7798169 + sin(((-2.2131808 - sin(x0 - (cos(x0) * 1.3327848))) * 1.4697176) - x0))) * 5.1504397"
25,0.026730765,"sin((cos(x0 - -1.0451386) + -0.7811021) + sin(((-1.9086112 - sin(sin(x0 - (cos(x0) * 1.2451919)))) * 1.6758987) - x0)) * 5.1361017"
26,0.02131035,"sin(cos(-1.0491018 - x0) + (sin(((2.1615818 - sin(x0 + (0.10926856 - (cos(x0) * 1.3535637)))) * 1.435397) - x0) + -0.7985933)) * 5.208338"
27,0.018861782,"sin(cos(-1.0435741 - x0) + (sin(((1.9054137 - sin(sin(x0 - (cos(x0 * -1.0687723) * 1.2250019)))) * 1.6448154) - x0) + -0.7898765)) * 5.192386"
29,0.016714675,"(sin(cos(x0 - -1.0576339) + (sin(((1.9480603 - sin(sin(x0 - (cos(-1.0727459 * x0) * 1.1759807)))) * 1.6269516) - x0) + -0.7093708)) * 4.7573867) + -0.56393385"
