Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248445 - x0"
4,2.1495543,"-2.7248702 - sin(x0)"
5,2.0760255,"(-4.578728 - x0) * 0.5951015"
6,1.7460456,"exp(x0 * -0.48604915) + -4.185791"
7,1.397743,"exp(cos(x0 + -4.083657)) + -4.0039425"
8,1.1073221,"sin(exp(sin(x0 + 0.6375618))) * -4.5454063"
9,0.5502116,"sin(cos(-2.1940413 - x0) + -0.9953259) * 4.355836"
10,0.25965822,"sin(exp(sin(x0 + 0.6284841)) + 2.8816726) * 5.062859"
12,0.1531014,"sin(exp(sin(x0 + 0.6288085) * 1.0872447) + 2.852554) * 5.4471364"
13,0.13066456,"sin(sin(exp(sin(x0 + 0.6290493) * 1.1174172) + 2.8358169)) * 6.286413"
14,0.12563181,"sin(sin(sin(exp(sin(x0 + 0.62940305) * 1.135443) + 2.827015))) * 6.954595"
15,0.08709556,"sin(exp(sin(sin(cos(cos(x0))) + x0) * 1.1321826) + 2.8278816) * 5.47386"
16,0.070642695,"sin(exp(sin(x0 + (cos(cos(x0)) + -0.11831697)) * 1.1505882) + 2.8176384) * 5.484942"
17,0.05935161,"sin(sin(exp(sin(x0 + sin(sin(cos(cos(x0))))) * 1.1489317) + 2.8137286)) * 6.290156"
18,0.047537696,"sin(exp(sin((cos(cos(x0 - 0.12569763)) + x0) + -0.12981948) * 1.154829) + 2.8136559) * 5.5182247"
19,0.035095483,"sin(sin(exp(sin(x0 + sin(sin(cos(cos(x0))))) * 1.4037952) + 2.4028432) + -0.5034648) * 5.2173057"
20,0.032369886,"sin(sin(sin(exp(sin(sin(sin(cos(cos(x0)))) + x0) * 1.4657835) + 2.2964523) + -0.58761674)) * 5.993055"
21,0.023707323,"sin(sin(exp(sin(x0 + (cos(cos(x0 + -0.12523422)) - 0.1286808)) * 1.4297155) + 2.3738248) + -0.5060029) * 5.2272387"
22,0.018172743,"sin(sin(exp(sin(x0 + cos(cos(cos(x0 + 1.4487157)) + 0.11441055)) * 1.3952987) + 2.4289618) + -0.45918745) * 5.266472"
24,0.017210957,"(sin(sin(exp(sin(x0 + cos(cos(cos(x0 - 1.6920406)) + 0.11449743)) * 1.4242507) + 2.3769) + -0.55857354) * 5.417289) + 0.26601166"
25,0.016824547,"sin(sin(sin(exp(sin(cos(cos(cos((x0 - -1.6078203) * 0.93704754)) + 0.115833186) + x0) * 1.4504526) + 2.3415062) + -0.53844756)) * 6.0774236"
27,0.01644719,"(sin(sin(sin(exp(sin(cos(cos(cos(1.4896917 - (x0 * -0.95445466))) + 0.11502859) + x0) * 1.41271) + 2.4083443) + -0.40522823)) * 5.7541437) - 0.38260466"
30,0.014758584,"(sin(sin((cos((x0 + 1.6278461) + exp(sin(x0) * 1.6457497)) + (-0.6520353 - (sin(x0 - (sin(x0) * 1.1394475)) * 0.68627226))) * 0.81136817)) * 3.5027459) - 2.2652836"
