Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248483 - x0"
4,2.1495543,"-2.7249014 - sin(x0)"
5,2.0760255,"-2.7248287 - (x0 * 0.59512883)"
6,1.7460457,"exp(x0 * -0.48604816) - 4.1857867"
7,1.4556221,"-2.7492304 - (sin(x0) + cos(x0))"
8,1.143579,"sin(exp(cos(x0 - 0.96424294))) * -4.2863655"
9,0.5502115,"sin(sin(18.226255 - x0) - 0.9953379) * 4.3558173"
11,0.27085125,"3.4151795 - (sin(exp(sin(sin(x0 - -0.6247034)))) * 8.643201)"
13,0.09223181,"(sin(-0.63390267 - x0) - cos(0.44685373 / (0.89127874 - x0))) / 0.28864557"
15,0.07511678,"((sin(-0.6382524 - x0) - cos(-0.4458509 / (0.8919115 - x0))) / 0.30496094) + -0.23854"
16,0.024934681,"(sin(-0.62149197 - x0) - cos(-0.25819963 / (1.1171271 - cos(0.9316301 - x0)))) / 0.2803901"
18,0.022734584,"((sin(-0.62285614 - x0) - cos(0.25271964 / (cos(x0 - 0.9309652) - 1.1137012))) / 0.28682852) - 0.09112517"
20,0.022289788,"((sin(-0.62078923 - x0) * 0.9756954) - cos((0.8246537 / (1.1142932 - cos(0.93066937 - x0))) / 3.2931256)) / 0.2793751"
21,0.022120718,"((sin(-0.6223117 - x0) + -0.054830864) - cos((-0.6030265 / sin(cos(x0 - 0.93114233) - 1.1097507)) / 2.4406815)) / 0.29161465"
22,0.016878761,"(sin(-0.60980266 - x0) - cos((cos(cos(cos(square(x0)))) / (cos(1.0167352 - x0) - 1.0926434)) / 3.1593199)) / 0.27847233"
23,0.01403062,"(sin(-0.62079763 - x0) - cos((sin(cos(sin(x0 * -1.5919462))) / (cos(0.9469463 - x0) - 1.07029)) / 3.2674541)) / 0.2781284"
24,0.011990643,"(sin(-0.6236407 - x0) - cos((cos(cos((0.9155078 - x0) * 1.4906397)) / (1.0687994 - cos(0.92639005 - x0))) / -3.4664817)) / 0.27420187"
25,0.006558776,"(sin(-0.6164393 - x0) - cos((cos(cos(cos(cos(exp(x0 + 1.6818696))))) / (cos(x0 - 0.96424294) - 1.1461201)) / -2.319132)) / 0.27148363"
26,0.0049156044,"(sin(-0.6214066 - x0) - cos((cos(cos(cos(cos(sin(exp(x0 + 2.450318)))))) / (1.1439215 - cos(x0 - 0.928682))) / -2.2137048)) / 0.27046305"
27,0.0026790372,"(sin(-0.6208808 - x0) - cos((cos(cos(cos(cos(cos(exp(exp(x0) + -1.4918065)))))) / (cos(0.932074 - x0) - 1.1458361)) / 2.1904876)) / 0.26725706"
29,0.0016104229,"((sin(-0.62332827 - x0) - cos((cos(cos(cos(cos(cos(exp(exp(x0) + -1.4916303)))))) / (cos(0.9312294 - x0) - 1.1372434)) / -2.3111699)) / 0.27506426) + -0.068826795"
