Complexity,Loss,Equation
1,3.2994814,"-2.724793"
3,2.6422691,"-2.7248445 - x0"
4,2.1495545,"-2.7247977 - sin(x0)"
5,2.0760255,"(x0 + 4.5783286) * -0.5951967"
6,1.7460456,"exp(x0 * -0.4860701) + -4.185813"
7,1.397743,"exp(cos(x0 + -4.0835996)) + -4.0038834"
8,1.107322,"sin(exp(cos(x0 + -0.9332055))) * -4.5452733"
9,0.5502116,"cos(cos(x0 + -0.94755113) + 2.566137) * 4.355819"
10,0.25965804,"cos(exp(sin(x0 + 0.62848914)) - -7.5941567) * 5.0626864"
11,0.25495222,"cos(square(exp(cos(x0 + -0.9394024)) + -1.6560166)) * -4.719987"
12,0.15579598,"(sin(exp(cos(x0 + -0.9426084)) * 0.9017896) * -7.7036476) + 2.366713"
13,0.13695613,"cos(exp(exp((cos(x0 + -0.9418035) + -0.338398) / 1.78534))) * 5.437656"
14,0.09724315,"sin(sin(exp(exp(cos(x0 + -0.9400643) + -1.3240757)) / 0.34649873)) * 6.443232"
15,0.07143797,"sin(sin(cos(exp(exp(cos(x0 + -0.93801916) + -0.84042346)) / 0.7250925))) * 7.2648687"
16,0.049962677,"sin(cos(exp(exp(cos(x0 + -0.9373368) + -0.81758153)) / 0.73738796) / 0.61978835) * 5.08495"
17,0.043971427,"sin(sin(cos(exp(exp(cos(x0 + -0.9374599) + -0.80926025)) / 0.74198765) / 0.69417775)) * 6.111421"
18,0.042199977,"sin(sin(sin(cos(exp(exp(cos(x0 + -0.9374963) + -0.80640167)) / 0.7435963) / 0.7758494))) * 7.023355"
19,0.03601948,"sin(sin(cos(exp(exp((cos(x0 + -0.9360197) + -0.8741408) * 1.1796664)) / 0.6992448) / 0.62624717)) * 6.026531"
20,0.030943425,"sin(sin(sin(cos(exp(exp((cos(x0 + -0.93574524) + -0.8802431) * 1.2188987)) / 0.69467396) / 0.6631346))) * 6.8215723"
21,0.027596788,"sin(sin(sin(sin(cos(exp(exp((cos(x0 + -0.9353825) + -0.8874241) * 1.2611176)) / 0.68944144)) / 0.6339519))) * 6.9156027"
23,0.027098764,"sin(sin(sin(sin(cos(exp(exp((cos(x0 + -0.9355976) + -0.89007914) * 1.2757043)) / 0.68754715) / 0.7503873)) / 0.81706804)) * 6.7862577"
25,0.02660745,"(cos(exp(cos(cos(cos((square(cos(cos(x0 - 0.08600422))) + -0.7169126) + x0)) + (x0 + -1.7074221))) - -7.74812) * 7.3423862) - -2.1060138"
29,0.025662044,"(cos(-7.7515473 - exp(cos(x0 + (cos(cos(sin(square(sin(x0)) + -7.995619) + (cos(cos(x0 - 0.26385483)) + x0))) + -1.6973692)))) * 7.3638015) - -2.1289752"
30,0.02411495,"(cos(-7.7509265 - exp(cos((x0 + -7.9806557) + cos(cos(sin(square(sin(x0)) + -7.84802) + (cos(cos(cos(x0 - -1.2057078))) + x0)))))) * 7.3881135) - -2.1485364"
