Complexity,Loss,Equation
1,45.05937,"x0"
3,38.631042,"x0 * 2.3639994"
4,21.799288,"sin(x0) * 8.60729"
6,0.8922217,"sin(x0 - 18.210964) * 10.719889"
8,0.106676765,"(cos(x0 + 11.6309805) * 10.694205) - 0.8868162"
10,0.07477464,"-0.80290836 - (cos((x0 - 0.9287203) * 1.0140318) * -10.723974)"
11,0.05421974,"((-10.682772 - sin(x0)) * cos(-8.489227 - x0)) - 1.2796681"
12,0.042079747,"(cos(-5.347571 - x0) * (sin(sin(x0)) - -10.684204)) - 1.2325959"
13,0.0021891457,"((cos(x0 - -5.3921576) - -10.690696) * cos(-5.347319 - x0)) - 1.3833776"
14,0.002098278,"(cos(-8.48954 - x0) - -0.12265158) * (-10.799983 - sin(sin(8.744232 - x0)))"
15,0.0015395766,"(cos(x0 - -5.3473487) * ((sin(x0 + 0.67930204) * 0.92708886) - -10.690662)) - 1.3471421"
