Complexity,Loss,Equation
1,45.05937,"x0"
3,38.631042,"x0 * 2.3641713"
4,21.799288,"sin(x0) * 8.607156"
6,0.89222187,"sin(x0 + -18.210926) * 10.719285"
8,0.10667667,"(cos(x0 + 11.630935) + -0.082931064) * 10.694178"
10,0.07477469,"(cos((x0 + -0.92872125) * 1.0140326) + -0.074869186) * 10.723968"
11,0.054218363,"((sin(x0) + 10.682754) * cos(x0 + 17.913994)) + -1.2796302"
12,0.04207924,"((sin(sin(x0)) + 10.68414) * cos(x0 + 17.914017)) + -1.2325606"
13,0.0021891906,"(sin(x0 + 0.6793213) + 10.818461) * (cos(x0 + -0.93534946) + -0.12787318)"
14,0.002098093,"(cos(x0 + -0.9352788) + -0.122643195) * (sin(sin(x0 + 0.6806318)) + 10.799627)"
15,0.00153955,"(cos(x0 + -0.93537736) + -0.12466823) * ((sin(x0 + 0.6784205) * 0.927117) + 10.806413)"
