Complexity,Loss,Equation
1,38.953396,"-6.0173717"
3,30.18602,"x0 + -6.017495"
5,22.184769,"(1.769024 - x0) * x0"
6,15.5361595,"(sin(x0) - 0.86853814) * 6.9282856"
7,15.497888,"(sin(sin(x0)) + -0.7644906) * 7.8711596"
8,1.8695172,"(cos(x0 + 17.919765) * 8.643991) + -5.8913393"
9,0.9939218,"cos(0.90495294 - cos(x0 - -21.058935)) * -12.3782"
11,0.9826922,"(cos(cos(x0 - -21.058937) - 0.9471117) * -11.992748) + -0.51364034"
12,0.86138844,"(cos(cos(x0 - -2.2109947)) - cos(0.93201125 - x0)) * -8.093776"
13,0.5802216,"(sin(cos(cos(x0 - -21.059883))) - cos(0.93194366 - x0)) * -8.635681"
15,0.5461376,"(sin(cos(cos((x0 * 1.0504769) - -21.047245))) - cos(x0 - 0.94239324)) * -8.640953"
