Complexity,Loss,Equation
1,38.953396,"-6.017371"
3,30.18602,"x0 - 6.017403"
4,24.227705,"x0 - square(x0)"
5,22.184769,"x0 * (1.7690271 - x0)"
6,15.5361595,"(sin(x0) - 0.8684949) * 6.928549"
7,9.57784,"(sin(x0) * 6.928548) - square(x0)"
8,1.8695174,"(sin(x0 - -13.207335) * 8.643997) + -5.8913527"
9,0.9939219,"sin(sin(x0 + 19.488125) - 0.66582024) * 12.378203"
11,0.9169316,"sin((sin(x0 + 0.63855743) - 0.6722251) * 0.89735955) * 12.868504"
12,0.8333347,"sin(sin((sin(x0 + 0.6388348) - 0.6749739) * 0.77889764)) * 15.615527"
13,0.7270112,"sin(square(x0)) + (sin(sin(x0 + 0.61890084) - 0.6895507) * 12.461668)"
14,0.6390679,"(sin(x0 - -0.6386566) + sin(sin(x0 - -0.64019716) + -7.7286973)) * 7.744346"
15,0.578978,"(sin(sin(-1.5588857 - sin(-0.63955384 - x0))) + sin(x0 - -0.6388845)) * 8.600054"
