Complexity,Loss,Equation
1,38.953396,"-6.017371"
3,30.18602,"x0 + -6.017447"
4,24.227705,"x0 - square(x0)"
5,22.184769,"(1.769021 - x0) * x0"
6,15.5361595,"(sin(x0) + -0.8685065) * 6.9285707"
7,9.577841,"(sin(x0) * 6.9285793) - square(x0)"
8,1.8695167,"(sin(x0 + 16.348957) * -8.6439905) + -5.8913426"
9,0.9939217,"sin(sin(x0 + 19.488142) + -0.66582644) * 12.378023"
11,0.9826919,"(sin(sin(x0 + 19.488111) + -0.6235128) * 11.991337) + -0.5158226"
12,0.97120935,"sin(x0) + (sin(sin(x0 + 0.7058644) + -0.7124138) * 11.710742)"
13,0.72701,"(sin(sin(x0 + 19.468527) + -0.6895425) * 12.461745) + sin(square(x0))"
14,0.67078537,"sin(sin(x0 + -5.6488757) + -0.691527) * (12.239869 - sin(x0 * -1.9951177))"
