Complexity,Loss,Equation
1,39.27153,"-5.8908863"
3,20.654163,"x0 * -2.0514376"
5,20.059874,"(x0 * -2.4174597) - -1.5140343"
6,11.391381,"square(x0 + -4.271665) + -10.639502"
7,6.791777,"sin(square(x0 * -0.2829247)) * -13.351119"
8,1.916247,"(sin(x0 + 60.331104) + 0.6815498) * -8.6434965"
9,1.005259,"sin(5.6170382 - sin(x0 + 28.914164)) * 12.4132805"
11,0.9943692,"(sin(-0.625063 - sin(x0 + 28.914232)) + -0.04169739) * 12.035859"
12,0.99172384,"sin(x0) + (sin(5.570813 - sin(x0 + 28.980692)) * 11.7298355)"
13,0.867929,"(sin(5.7720013 - sin(x0 + 28.856157)) * (14.597755 - x0)) - 2.3212714"
14,0.6760272,"sin(5.5914187 - sin(x0 + 28.909988)) * (sin(x0 + x0) + 12.270649)"
15,0.6346495,"(sin(x0 + x0) + 14.173463) * sin(sin(5.5920978 - sin(x0 + 22.628496)))"
