Complexity,Loss,Equation
1,39.271523,"-5.8906393"
3,20.654161,"x0 * -2.0516167"
5,20.059874,"(x0 * -2.4175086) + 1.5142254"
6,11.391381,"square(x0 + -4.2716255) + -10.639415"
8,1.9162302,"(sin(x0 - -506.43723) * -8.643507) - 5.8910747"
9,1.00526,"sin(sin(-25.772566 - x0) + 0.66606545) * -12.413502"
11,0.9300572,"sin((sin(-0.6400184 - x0) * 0.9001742) + 0.6052075) * -12.883132"
12,0.8472637,"sin(sin((sin(-0.6399572 - x0) * 0.7799113) + 0.5264828)) * -15.637801"
13,0.7394343,"(sin((sin(-6.922878 - x0) * 0.6262708) + 0.9183129) * -23.766703) + 11.167657"
14,0.6760275,"(-12.27079 - sin(x0 + x0)) * sin(sin(-25.768356 - x0) + 0.69170463)"
