Complexity,Loss,Equation
1,39.271523,"4.8468947"
3,26.664145,"7.909371 - x0"
4,11.398042,"square(4.2843513 - x0)"
6,11.391379,"square(4.2716193 - x0) - -0.09844649"
7,8.044472,"square((x0 - sin(x0)) + -3.9641807)"
8,1.9162308,"(sin(-289.66736 - x0) * -8.643526) + 4.8468823"
9,1.2264626,"square(sin(x0 - -0.64053124) + 4.321593) + -14.328809"
10,1.08538,"(sin(-0.6100094 - x0) * (x0 - 11.263776)) + 3.983933"
11,0.5884747,"square(2.3937101 - (sin(x0 + 0.6399119) * -1.8054028)) - 2.5130715"
15,0.4338327,"((sin(x0 + 0.62045497) + 1.5585333) * (sin(x0 + x0) + 8.16953)) - 7.8877983"
