Complexity,Loss,Equation
1,39.271526,"3.5068908"
3,26.664145,"6.5697985 - x0"
4,12.500189,"square(x0 + -4.124915)"
6,11.391381,"square(x0 + -4.271693) + -1.2415844"
7,8.203842,"square(x0 + -5.083773) * sin(x0)"
8,1.9162314,"(sin(-277.10098 - x0) * -8.643509) + 3.506825"
9,1.2264645,"square(sin(x0 + 0.64063275) - -4.321704) + -15.669803"
10,1.0853802,"((x0 + -11.263441) * sin(x0 + 22.601307)) + 2.6445386"
11,0.5884749,"(square(-1.3258296 - sin(x0 + 0.6399299)) + -1.1819918) * 3.259587"
13,0.58847487,"((square(sin(x0 + 0.6399374) - -1.3253847) + -1.335797) - -0.15462786) * 3.2606578"
