theta,V_unperturbed,V_perturbed_dvnet_poly
-4.078205923116121,5.2943935,6.8541527
-4.065626973552197,5.4170485,7.0026817
-4.053048023988275,5.538827,7.1510344
-4.040469074424351,5.6596837,7.299244
-4.027890124860429,5.779574,7.447342
-4.015311175296505,5.8984504,7.5953536
-4.002732225732583,6.01627,7.743304
-3.9901532761686584,6.1329885,7.891209
-3.9775743266047354,6.2485623,8.039082
-3.9649953770408124,6.36295,8.186925
-3.9524164274768894,6.47611,8.334732
-3.9398374779129663,6.588005,8.482491
-3.9272585283490433,6.6985955,8.630171
-3.9146795787851203,6.807846,8.777736
-3.9021006292211973,6.915721,8.925131
-3.8895216796572742,7.0221868,9.072293
-3.876942730093351,7.1272125,9.219148
-3.864363780529428,7.230767,9.365604
-3.851784830965505,7.3328223,9.511571
-3.839205881401582,7.4333515,9.656941
-3.8266269318376582,7.532329,9.80161
-3.814047982273735,7.6297317,9.945466
-3.801469032709812,7.7255373,10.088399
-3.788890083145889,7.8197246,10.230303
-3.776311133581966,7.912275,10.371073
-3.763732184018043,8.003171,10.5106125
-3.75115323445412,8.092396,10.648831
-3.738574284890197,8.179935,10.785648
-3.725995335326274,8.265777,10.92099
-3.713416385762351,8.349903,11.054784
-3.700837436198428,8.432309,11.186981
-3.688258486634505,8.512984,11.317529
-3.675679537070582,8.591918,11.4463825
-3.663100587506658,8.669102,11.5735035
-3.650521637942735,8.744529,11.698861
-3.637942688378812,8.818194,11.822432
-3.625363738814889,8.890092,11.944195
-3.612784789250966,8.960216,12.064137
-3.600205839687043,9.028562,12.182252
-3.58762689012312,9.095128,12.298543
-3.575047940559197,9.159909,12.413017
-3.562468990995274,9.222901,12.525696
-3.549890041431351,9.284104,12.636615
-3.5373110918674278,9.343514,12.745822
-3.524732142303504,9.401129,12.853382
-3.5121531927395817,9.456944,12.959382
-3.499574243175658,9.51096,13.063933
-3.4869952936117348,9.563171,13.167175
-3.4744163440478117,9.613578,13.269278
-3.4618373944838887,9.662175,13.370443
-3.4492584449199657,9.7089615,13.470915
-3.4366794953560427,9.753934,13.570972
-3.4241005457921196,9.797089,13.67093
-3.4115215962281966,9.838422,13.771137
-3.3989426466642736,9.877931,13.871967
-3.3863636971003506,9.915611,13.973797
-3.3737847475364275,9.951461,14.076988
-3.3612057979725036,9.985473,14.181847
-3.3486268484085815,10.017646,14.288586
-3.3360478988446576,10.047975,14.397257
-3.3234689492807346,10.076455,14.50769
-3.3108899997168115,10.103081,14.619417
-3.2983110501528885,10.1278515,14.731625
-3.2857321005889655,10.150762,14.8430805
-3.2731531510250425,10.171805,14.952126
-3.2605742014611194,10.190981,15.0567
-3.2479952518971964,10.208282,15.154413
-3.2354163023332734,10.223706,15.2426605
-3.2228373527693503,10.23725,15.318772
-3.2102584032054273,10.24891,15.380192
-3.1976794536415034,10.258681,15.424635
-3.1851005040775813,10.266561,15.450243
-3.1725215545136574,10.272547,15.455711
-3.1599426049497343,10.276634,15.440369
-3.1473636553858113,10.278822,15.404247
-3.1347847058218883,10.279106,15.348106
-3.1222057562579653,10.277484,15.273401
-3.1096268066940422,10.273953,15.182217
-3.097047857130119,10.268511,15.077119
-3.084468907566196,10.261155,14.960966
-3.071889958002273,10.251883,14.836683
-3.05931100843835,10.240691,14.7070465
-3.046732058874427,10.227577,14.57451
-3.034153109310503,10.212539,14.441088
-3.021574159746581,10.195575,14.308321
-3.008995210182657,10.176679,14.177275
-2.996416260618734,10.155851,14.048617
-2.983837311054811,10.133088,13.922676
-2.971258361490888,10.108388,13.799525
-2.958679411926965,10.081746,13.679054
-2.946100462363042,10.053162,13.561035
-2.933521512799119,10.022629,13.445158
-2.920942563235196,9.990149,13.331078
-2.908363613671273,9.955715,13.2184305
-2.89578466410735,9.91933,13.106861
-2.883205714543427,9.880986,12.996014
-2.870626764979503,9.840684,12.885561
-2.858047815415581,9.798421,12.775196
-2.845468865851657,9.754197,12.664638
-2.832889916287734,9.708011,12.553626
-2.820310966723811,9.659862,12.441925
-2.807732017159888,9.60975,12.329321
-2.795153067595965,9.557678,12.215623
-2.782574118032042,9.503647,12.100655
-2.7699951684681188,9.4476595,11.984261
-2.7574162189041957,9.38972,11.866296
-2.7448372693402727,9.329834,11.7466345
-2.7322583197763497,9.268008,11.625158
-2.7196793702124267,9.204249,11.50176
-2.7071004206485028,9.138567,11.37634
-2.6945214710845806,9.070975,11.248813
-2.6819425215206567,9.00148,11.119087
-2.6693635719567337,8.930102,10.987093
-2.6567846223928107,8.856854,10.852757
-2.6442056728288876,8.781756,10.716018
-2.6316267232649646,8.704827,10.57682
-2.6190477737010416,8.626088,10.43512
-2.6064688241371186,8.545564,10.290884
-2.5938898745731955,8.463282,10.144101
-2.5813109250092725,8.379268,9.994774
-2.5687319754453486,8.29355,9.842927
-2.5561530258814265,8.2061615,9.688619
-2.5435740763175025,8.117136,9.531935
-2.5309951267535804,8.0265045,9.372991
-2.5184161771896565,7.934306,9.211938
-2.5058372276257335,7.840575,9.048956
-2.4932582780618104,7.7453547,8.88426
-2.4806793284978874,7.6486754,8.718065
-2.4681003789339644,7.5505795,8.55062
-2.4555214293700414,7.451106,8.382172
-2.4429424798061183,7.3502965,8.212973
-2.4303635302421953,7.248187,8.0432625
-2.4177845806782723,7.1448193,7.8732767
-2.4052056311143484,7.040231,7.7032394
-2.3926266815504262,6.934461,7.533365
-2.3800477319865023,6.827544,7.3638573
-2.36746878242258,6.719517,7.1949167
-2.3548898328586563,6.610416,7.026737
-2.3423108832947332,6.500272,6.859502
-2.3297319337308102,6.3891187,6.6933875
-2.317152984166887,6.2769866,6.528554
-2.304574034602964,6.1639047,6.3651414
-2.291995085039041,6.0499024,6.203265
-2.279416135475118,5.935004,6.0430074
-2.266837185911195,5.8192363,5.88442
-2.254258236347272,5.702621,5.727517
-2.241679286783348,5.5851827,5.572285
-2.229100337219426,5.466942,5.4186773
-2.216521387655502,5.3479195,5.266624
-2.203942438091579,5.2281327,5.116032
-2.191363488527656,5.107602,4.9667997
-2.178784538963733,4.986344,4.818812
-2.16620558939981,4.864376,4.671954
-2.153626639835887,4.741715,4.526108
-2.141047690271964,4.6183743,4.381157
-2.128468740708041,4.494372,4.2369947
-2.115889791144118,4.369723,4.093519
-2.103310841580195,4.244441,3.9506347
-2.090731892016272,4.118542,3.8082552
-2.078152942452348,3.9920464,3.6663089
-2.065573992888426,3.8649592,3.5247145
-2.052995043324502,3.7373004,3.3834157
-2.0404160937605798,3.609085,3.242357
-2.027837144196656,3.4803302,3.101492
-2.015258194632733,3.3510516,2.9607787
-2.00267924506881,3.2212658,2.8201814
-1.9901002955048868,3.09099,2.6796703
-1.9775213459409637,2.9602416,2.5392191
-1.9649423963770407,2.829039,2.3988078
-1.9523634468131177,2.697401,2.2584183
-1.9397844972491938,2.5653462,2.1180382
-1.9272055476852716,2.432895,1.9776573
-1.9146265981213477,2.3000674,1.837269
-1.9020476485574256,2.1668844,1.6968684
-1.8894686989935017,2.0333676,1.5564549
-1.8768897494295795,1.8995392,1.4160287
-1.8643107998656556,1.7654226,1.2755942
-1.8517318503017326,1.6310395,1.1351547
-1.8391529007378096,1.496416,0.99471974
-1.8265739511738865,1.3615757,0.85429716
-1.8139950016099635,1.2265433,0.7138968
-1.8014160520460405,1.0913445,0.57353103
-1.7888371024821175,0.95600575,0.43321383
-1.776258152918194,0.8205561,0.2929623
-1.763679203354271,0.6850173,0.15278703
-1.751100253790348,0.549419,0.012707412
-1.738521304226425,0.4137888,-0.12725908
-1.725942354662502,0.27815506,-0.26709285
-1.7133634050985789,0.14254513,-0.40677515
-1.7007844555346554,0.006988667,-0.54628485
-1.6882055059707324,-0.1284864,-0.68560123
-1.6756265564068094,-0.26385072,-0.8247026
-1.6630476068428863,-0.39907646,-0.96356785
-1.6504686572789633,-0.534135,-1.102175
-1.6378897077150403,-0.66899645,-1.2405007
-1.6253107581511173,-0.80363363,-1.3785232
-1.6127318085871938,-0.9380175,-1.5162191
-1.6001528590232708,-1.0721203,-1.6535665
-1.5875739094593477,-1.2059139,-1.7905422
-1.5749949598954247,-1.3393681,-1.9271214
-1.5624160103315017,-1.4724623,-2.0632877
-1.5498370607675787,-1.6051661,-2.1990156
-1.5372581112036552,-1.737455,-2.3342853
-1.5246791616397322,-1.8693023,-2.469074
-1.5121002120758091,-2.0006843,-2.6033623
-1.499521262511886,-2.1315768,-2.7371302
-1.486942312947963,-2.2619562,-2.870358
-1.47436336338404,-2.3918009,-3.003028
-1.461784413820117,-2.5210888,-3.1351213
-1.4492054642561936,-2.6498,-3.2666223
-1.4366265146922705,-2.7779145,-3.3975139
-1.4240475651283475,-2.9054134,-3.5277808
-1.4114686155644245,-3.0322795,-3.6574092
-1.3988896660005015,-3.1584954,-3.7863843
-1.3863107164365784,-3.2840471,-3.9146955
-1.373731766872655,-3.408918,-4.042329
-1.361152817308732,-3.5330932,-4.1692724
-1.348573867744809,-3.6565645,-4.295521
-1.335994918180886,-3.7793186,-4.4210625
-1.3234159686169629,-3.9013448,-4.5458884
-1.3108370190530398,-4.0226336,-4.669992
-1.2982580694891164,-4.1431766,-4.7933664
-1.2856791199251933,-4.262966,-4.916005
-1.2731001703612703,-4.3819957,-5.037902
-1.2605212207973473,-4.50026,-5.159054
-1.2479422712334243,-4.617753,-5.279454
-1.2353633216695012,-4.734471,-5.399099
-1.2227843721055782,-4.8504114,-5.5179853
-1.2102054225416548,-4.965571,-5.6361094
-1.1976264729777317,-5.079946,-5.753465
-1.1850475234138087,-5.193537,-5.870052
-1.1724685738498857,-5.306341,-5.9858627
-1.1598896242859627,-5.4183555,-6.1008916
-1.1473106747220396,-5.5295835,-6.215138
-1.1347317251581162,-5.640023,-6.328594
-1.1221527755941931,-5.7496734,-6.441254
-1.10957382603027,-5.858533,-6.553109
-1.096994876466347,-5.9666023,-6.6641517
-1.084415926902424,-6.0738792,-6.7743716
-1.071836977338501,-6.1803637,-6.8837585
-1.0592580277745776,-6.286053,-6.992299
-1.0466790782106545,-6.3909464,-7.0999804
-1.0341001286467315,-6.4950395,-7.206786
-1.0215211790828085,-6.5983315,-7.312701
-1.0089422295188855,-6.700816,-7.4177046
-0.9963632799549624,-6.80249,-7.5217767
-0.9837843303910394,-6.9033475,-7.6248946
-0.9712053808271159,-7.003382,-7.7270346
-0.9586264312631929,-7.102585,-7.82817
-0.9460474816992699,-7.20095,-7.928274
-0.9334685321353469,-7.2984686,-8.027319
-0.9208895825714238,-7.3951297,-8.125274
-0.9083106330075008,-7.4909215,-8.222107
-0.8957316834435773,-7.585832,-8.317784
-0.8831527338796543,-7.679849,-8.412274
-0.8705737843157313,-7.772957,-8.505542
-0.8579948347518083,-7.8651423,-8.597556
-0.8454158851878852,-7.956388,-8.688281
-0.8328369356239622,-8.0466795,-8.777688
-0.8202579860600392,-8.135999,-8.865744
-0.8076790364961157,-8.224326,-8.952419
-0.7951000869321927,-8.311646,-9.037689
-0.7825211373682697,-8.397936,-9.121525
-0.7699421878043466,-8.48318,-9.20391
-0.7573632382404236,-8.567353,-9.284818
-0.7447842886765006,-8.650442,-9.364241
-0.7322053391125771,-8.732424,-9.442161
