theta,V_unperturbed,V_perturbed_dvnet_sin
-4.078205923116121,5.2943935,6.310594
-4.065626973552197,5.4170485,6.339217
-4.053048023988275,5.538827,6.364877
-4.040469074424351,5.6596837,6.3888927
-4.027890124860429,5.779574,6.4124165
-4.015311175296505,5.8984504,6.436415
-4.002732225732583,6.01627,6.46168
-3.9901532761686584,6.1329885,6.4888415
-3.9775743266047354,6.2485623,6.5184016
-3.9649953770408124,6.36295,6.5507545
-3.9524164274768894,6.47611,6.5862
-3.9398374779129663,6.588005,6.624955
-3.9272585283490433,6.6985955,6.6671395
-3.9146795787851203,6.807846,6.7127748
-3.9021006292211973,6.915721,6.761769
-3.8895216796572742,7.0221868,6.813918
-3.876942730093351,7.1272125,6.8689117
-3.864363780529428,7.230767,6.926351
-3.851784830965505,7.3328223,6.9857903
-3.839205881401582,7.4333515,7.0467763
-3.8266269318376582,7.532329,7.1089077
-3.814047982273735,7.6297317,7.1718903
-3.801469032709812,7.7255373,7.2355804
-3.788890083145889,7.8197246,7.3000126
-3.776311133581966,7.912275,7.36541
-3.763732184018043,8.003171,7.4321556
-3.75115323445412,8.092396,7.50074
-3.738574284890197,8.179935,7.5717015
-3.725995335326274,8.265777,7.645543
-3.713416385762351,8.349903,7.7226686
-3.700837436198428,8.432309,7.8033423
-3.688258486634505,8.512984,7.8876553
-3.675679537070582,8.591918,7.9755263
-3.663100587506658,8.669102,8.066725
-3.650521637942735,8.744529,8.160904
-3.637942688378812,8.818194,8.257642
-3.625363738814889,8.890092,8.35647
-3.612784789250966,8.960216,8.456914
-3.600205839687043,9.028562,8.558519
-3.58762689012312,9.095128,8.660864
-3.575047940559197,9.159909,8.763564
-3.562468990995274,9.222901,8.866277
-3.549890041431351,9.284104,8.9687
-3.5373110918674278,9.343514,9.070545
-3.524732142303504,9.401129,9.1715355
-3.5121531927395817,9.456944,9.271378
-3.499574243175658,9.51096,9.369752
-3.4869952936117348,9.563171,9.466297
-3.4744163440478117,9.613578,9.560604
-3.4618373944838887,9.662175,9.652213
-3.4492584449199657,9.7089615,9.740634
-3.4366794953560427,9.753934,9.825363
-3.4241005457921196,9.797089,9.905914
