theta,V_unperturbed,V_perturbed_lora_sin
-4.078205923116121,5.2943935,7.110485
-4.065626973552197,5.4170485,7.144882
-4.053048023988275,5.538827,7.1756682
-4.040469074424351,5.6596837,7.203616
-4.027890124860429,5.779574,7.229477
-4.015311175296505,5.8984504,7.253974
-4.002732225732583,6.01627,7.2777925
-3.9901532761686584,6.1329885,7.301586
-3.9775743266047354,6.2485623,7.325964
-3.9649953770408124,6.36295,7.351494
-3.9524164274768894,6.47611,7.378689
-3.9398374779129663,6.588005,7.408013
-3.9272585283490433,6.6985955,7.4398737
-3.9146795787851203,6.807846,7.4746213
-3.9021006292211973,6.915721,7.5125427
-3.8895216796572742,7.0221868,7.553865
-3.876942730093351,7.1272125,7.5987487
-3.864363780529428,7.230767,7.6473
-3.851784830965505,7.3328223,7.699563
-3.839205881401582,7.4333515,7.755534
-3.8266269318376582,7.532329,7.8151593
-3.814047982273735,7.6297317,7.8783464
-3.801469032709812,7.7255373,7.944975
-3.788890083145889,7.8197246,8.014895
-3.776311133581966,7.912275,8.087947
-3.763732184018043,8.003171,8.163958
-3.75115323445412,8.092396,8.24275
-3.738574284890197,8.179935,8.324154
-3.725995335326274,8.265777,8.408003
-3.713416385762351,8.349903,8.494131
-3.700837436198428,8.432309,8.582396
-3.688258486634505,8.512984,8.672653
-3.675679537070582,8.591918,8.764767
-3.663100587506658,8.669102,8.8586035
-3.650521637942735,8.744529,8.954039
-3.637942688378812,8.818194,9.050935
-3.625363738814889,8.890092,9.149155
-3.612784789250966,8.960216,9.2485485
-3.600205839687043,9.028562,9.348947
-3.58762689012312,9.095128,9.45016
-3.575047940559197,9.159909,9.551983
-3.562468990995274,9.222901,9.654169
-3.549890041431351,9.284104,9.756447
-3.5373110918674278,9.343514,9.858506
-3.524732142303504,9.401129,9.959995
-3.5121531927395817,9.456944,10.060526
-3.499574243175658,9.51096,10.159673
-3.4869952936117348,9.563171,10.256976
-3.4744163440478117,9.613578,10.35195
-3.4618373944838887,9.662175,10.444097
-3.4492584449199657,9.7089615,10.532916
-3.4366794953560427,9.753934,10.617922
-3.4241005457921196,9.797089,10.698657
-3.4115215962281966,9.838422,10.774697
-3.3989426466642736,9.877931,10.845678
-3.3863636971003506,9.915611,10.911289
-3.3737847475364275,9.951461,10.971288
-3.3612057979725036,9.985473,11.025502
-3.3486268484085815,10.017646,11.073829
-3.3360478988446576,10.047975,11.116246
-3.3234689492807346,10.076455,11.1528
-3.3108899997168115,10.103081,11.183617
-3.2983110501528885,10.1278515,11.2089
-3.2857321005889655,10.150762,11.228935
-3.2731531510250425,10.171805,11.244073
-3.2605742014611194,10.190981,11.254744
-3.2479952518971964,10.208282,11.261437
-3.2354163023332734,10.223706,11.264694
-3.2228373527693503,10.23725,11.265092
-3.2102584032054273,10.24891,11.263213
-3.1976794536415034,10.258681,11.259639
-3.1851005040775813,10.266561,11.254909
-3.1725215545136574,10.272547,11.249501
-3.1599426049497343,10.276634,11.243815
-3.1473636553858113,10.278822,11.238138
-3.1347847058218883,10.279106,11.232645
-3.1222057562579653,10.277484,11.227377
-3.1096268066940422,10.273953,11.222247
-3.097047857130119,10.268511,11.217034
-3.084468907566196,10.261155,11.211393
-3.071889958002273,10.251883,11.204862
-3.05931100843835,10.240691,11.196879
-3.046732058874427,10.227577,11.186793
-3.034153109310503,10.212539,11.173889
-3.021574159746581,10.195575,11.157403
-3.008995210182657,10.176679,11.136553
-2.996416260618734,10.155851,11.110564
-2.983837311054811,10.133088,11.0787
-2.971258361490888,10.108388,11.040301
-2.958679411926965,10.081746,10.99481
-2.946100462363042,10.053162,10.941811
-2.933521512799119,10.022629,10.881057
-2.920942563235196,9.990149,10.812484
-2.908363613671273,9.955715,10.736215
-2.89578466410735,9.91933,10.652552
-2.883205714543427,9.880986,10.561938
-2.870626764979503,9.840684,10.464936
-2.858047815415581,9.798421,10.362166
-2.845468865851657,9.754197,10.254265
-2.832889916287734,9.708011,10.141835
-2.820310966723811,9.659862,10.0254345
-2.807732017159888,9.60975,9.905547
-2.795153067595965,9.557678,9.782595
-2.782574118032042,9.503647,9.656952
-2.7699951684681188,9.4476595,9.528969
-2.7574162189041957,9.38972,9.399003
-2.7448372693402727,9.329834,9.267438
-2.7322583197763497,9.268008,9.134709
-2.7196793702124267,9.204249,9.00131
-2.7071004206485028,9.138567,8.867794
-2.6945214710845806,9.070975,8.734768
-2.6819425215206567,9.00148,8.602869
-2.6693635719567337,8.930102,8.472751
-2.6567846223928107,8.856854,8.345048
-2.6442056728288876,8.781756,8.220353
-2.6316267232649646,8.704827,8.099188
-2.6190477737010416,8.626088,7.9819784
-2.6064688241371186,8.545564,7.869032
-2.5938898745731955,8.463282,7.7605276
-2.5813109250092725,8.379268,7.6565104
-2.5687319754453486,8.29355,7.556881
-2.5561530258814265,8.2061615,7.461423
-2.5435740763175025,8.117136,7.3698
-2.5309951267535804,8.0265045,7.2815857
-2.5184161771896565,7.934306,7.1962843
-2.5058372276257335,7.840575,7.113358
-2.4932582780618104,7.7453547,7.032258
-2.4806793284978874,7.6486754,6.9524364
-2.4681003789339644,7.5505795,6.873394
-2.4555214293700414,7.451106,6.794685
-2.4429424798061183,7.3502965,6.71595
-2.4303635302421953,7.248187,6.63692
-2.4177845806782723,7.1448193,6.557441
-2.4052056311143484,7.040231,6.4774766
-2.3926266815504262,6.934461,6.397106
-2.3800477319865023,6.827544,6.3165317
-2.36746878242258,6.719517,6.2360573
-2.3548898328586563,6.610416,6.156081
-2.3423108832947332,6.500272,6.077075
-2.3297319337308102,6.3891187,5.99956
-2.317152984166887,6.2769866,5.9240785
-2.304574034602964,6.1639047,5.8511605
-2.291995085039041,6.0499024,5.781295
-2.279416135475118,5.935004,5.714881
-2.266837185911195,5.8192363,5.652193
-2.254258236347272,5.702621,5.5933256
-2.241679286783348,5.5851827,5.5381484
-2.229100337219426,5.466942,5.4862595
-2.216521387655502,5.3479195,5.4369526
-2.203942438091579,5.2281327,5.38921
-2.191363488527656,5.107602,5.3417177
-2.178784538963733,4.986344,5.2929254
-2.16620558939981,4.864376,5.2411456
-2.153626639835887,4.741715,5.184662
-2.141047690271964,4.6183743,5.1218543
-2.128468740708041,4.494372,5.0513105
-2.115889791144118,4.369723,4.971901
-2.103310841580195,4.244441,4.882824
-2.090731892016272,4.118542,4.7836075
-2.078152942452348,3.9920464,4.6740894
-2.065573992888426,3.8649592,4.5543556
-2.052995043324502,3.7373004,4.4247174
-2.0404160937605798,3.609085,4.2856455
