theta,delta_V_true,delta_V_dvnet,delta_V_lora
-3.133839393980912,0.423546339306743,0.3867218,0.3867218
-3.121247840259109,0.5002852351343351,0.38323325,0.38323325
-3.1086562865373066,0.5734837025395952,0.38178176,0.38178176
-3.0960647328155044,0.6426707867760827,0.3821413,0.3821413
-3.0834731790937013,0.7074013421068926,0.38395613,0.38395613
-3.0708816253718982,0.7672588958468134,0.38675898,0.38675898
-3.058290071650095,0.8218583279237547,0.38998336,0.38998336
-3.045698517928293,0.8708483487192072,0.3929674,0.3929674
-3.03310696420649,0.9139137592455499,0.39499396,0.39499396
-3.0205154104846876,0.9507774791182587,0.3953001,0.3953001
-3.0079238567628845,0.9812023292752475,0.39310092,0.39310092
-2.9953323030410814,1.004992557973351,0.38762492,0.38762492
-2.9827407493192784,1.0219951002438423,0.37814158,0.37814158
-2.970149195597476,1.0321005627036652,0.36399573,0.36399573
-2.957557641875673,1.0352439273861997,0.34464854,0.34464854
-2.944966088153871,1.0314049700631323,0.31969756,0.31969756
-2.9323745344320677,1.0206083903659806,0.28891104,0.28891104
-2.9197829807102647,1.0029236528700844,0.252248,0.252248
-2.9071914269884624,0.9784645401635036,0.20984763,0.20984763
-2.8945998732666594,0.9473884207763593,0.16203421,0.16203421
-2.882008319544857,0.9098952366807422,0.109265506,0.109265506
-2.869416765823054,0.8662262168754868,0.05211848,0.05211848
-2.856825212101251,0.8166623253326459,-0.008784115,-0.008784115
-2.844233658379448,0.7615224532913598,-0.072805226,-0.072805226
-2.8316421046576457,0.7011613675299131,-0.13933355,-0.13933355
-2.8190505509358426,0.6359674278165771,-0.20782644,-0.20782644
-2.8064589972140404,0.566360088225135,-0.2778023,-0.2778023
-2.7938674434922373,0.49278719839136886,-0.34884435,-0.34884435
-2.781275889770434,0.4157221220741904,-0.42058164,-0.42058164
-2.768684336048632,0.3356606915603027,-0.49266988,-0.49266988
-2.756092782326829,0.25311801750766644,-0.56475335,-0.56475335
-2.7435012286050267,0.16862517475306932,-0.63644105,-0.63644105
-2.7309096748832236,0.08272578540699535,-0.70730287,-0.70730287
-2.7183181211614205,-0.004027478779858658,-0.77684766,-0.77684766
-2.7057265674396174,-0.09107645227497282,-0.8445175,-0.8445175
-2.693135013717815,-0.1778610669690839,-0.90971357,-0.90971357
