theta,delta_V_learned,delta_V_true
-3.133839393980912,0.0,0.0
-3.121247840259109,-0.07433891,-0.0899014937044127
-3.1086562865373066,-0.16309738,-0.17872152037007094
-3.0960647328155044,-0.26366758,-0.26646878795417983
-3.0834731790937013,-0.37316847,-0.3531519692138172
-3.0708816253718982,-0.488667,-0.4387797017059203
-3.058290071650095,-0.60739374,-0.5233605877873053
-3.045698517928293,-0.7269211,-0.6069031946146533
-3.03310696420649,-0.84526014,-0.6894160541445356
-3.0205154104846876,-0.9609089,-0.7709076631333751
-3.0079238567628845,-1.0728257,-0.8513864831374853
-2.9953323030410814,-1.180373,-0.9308609405130381
-2.9827407493192784,-1.2832453,-1.0093394264160818
-2.970149195597476,-1.381383,-1.0868302968025318
-2.957557641875673,-1.4749038,-1.163341872428191
-2.944966088153871,-1.5640485,-1.2388824388487159
-2.9323745344320677,-1.6491239,-1.3134602464196519
-2.9197829807102647,-1.7304797,-1.3870835102964039
-2.9071914269884624,-1.8084762,-1.4597604104342485
-2.8945998732666594,-1.883471,-1.5314990915883504
-2.882008319544857,-1.9558117,-1.6023076633137245
-2.869416765823054,-2.025823,-1.6721941999652774
-2.856825212101251,-2.09381,-1.7411667406977762
-2.844233658379448,-2.160053,-1.8092332894658623
-2.8316421046576457,-2.224807,-1.8764018150240451
-2.8190505509358426,-2.288308,-1.9426802509267214
-2.8064589972140404,-2.3507662,-2.0080764955281403
-2.7938674434922373,-2.4123766,-2.0725984119824417
-2.781275889770434,-2.4733129,-2.1362538282436234
-2.768684336048632,-2.533734,-2.199050537065557
-2.756092782326829,-2.5937867,-2.2609962960019985
-2.7435012286050267,-2.6536028,-2.3220988274065584
-2.7309096748832236,-2.713307,-2.3823658184327368
-2.7183181211614205,-2.7730122,-2.4418049210338935
-2.7057265674396174,-2.832826,-2.500423751963264
-2.693135013717815,-2.8928497,-2.5582298927739524
-2.680543459996012,-2.9531786,-2.615230889818947
-2.66795190627421,-3.0139034,-2.6714342542510923
-2.6553603525524068,-3.0751114,-2.72684746202312
-2.6427687988306037,-3.1368816,-2.781477953887624
-2.6301772451088006,-3.199289,-2.835333135397072
-2.6175856913869984,-3.2623985,-2.888420376903802
-2.6049941376651953,-3.326263,-2.9407470135600335
-2.592402583943393,-3.3909235,-2.9923203453178453
-2.57981103022159,-3.4563997,-3.0431476369292016
-2.567219476499787,-3.5226915,-3.0932361179459282
-2.5546279227779847,-3.589771,-3.142592982719724
-2.5420363690561816,-3.6575813,-3.191225390402169
-2.5294448153343794,-3.7260365,-3.2391404649447026
-2.5168532616125763,-3.7950163,-3.28634529509865
-2.504261707890773,-3.864375,-3.332846934415197
-2.49167015416897,-3.9339385,-3.3786524012454073
-2.479078600447168,-4.0035133,-3.4237686787402115
-2.466487046725365,-4.072897,-3.4682027148504235
-2.4538954930035626,-4.1418757,-3.511961422326715
-2.4413039392817595,-4.210243,-3.5550516787196433
-2.4287123855599564,-4.2777944,-3.5974803263796287
-2.416120831838154,-4.344335,-3.6392541724569636
-2.403529278116351,-4.4096813,-3.680379988901821
-2.390937724394549,-4.4736567,-3.720864512464235
-2.378346170672746,-4.5360928,-3.760714444694124
-2.3657546169509427,-4.596827,-3.7999364519412673
-2.3531630632291396,-4.655701,-3.838537165355322
-2.3405715095073374,-4.7125645,-3.8765231808858127
-2.3279799557855343,-4.767274,-3.913901059282147
-2.315388402063732,-4.819702,-3.95067732609359
-2.302796848341929,-4.869742,-3.9868584716692927
-2.290205294620126,-4.9173093,-4.02245095115827
-2.277613740898323,-4.9623523,-4.057461184509408
-2.2650221871765206,-5.0048494,-4.091895556471468
-2.2524306334547175,-5.044812,-4.125760416593088
-2.2398390797329153,-5.082285,-4.1590620792227675
-2.227247526011112,-5.1173377,-4.191806823508889
-2.214655972289309,-5.1500654,-4.224000893399701
-2.202064418567507,-5.18058,-4.255650497643321
-2.189472864845704,-5.2090063,-4.286761809787749
-2.1768813111239016,-5.2354765,-4.317340968180847
-2.1642897574020985,-5.2601237,-4.347394075970357
-2.1516982036802954,-5.283083,-4.376927201103886
-2.1391066499584923,-5.304484,-4.405946376328918
-2.12651509623669,-5.324449,-4.434457599192807
-2.113923542514887,-5.3430967,-4.462466832042781
-2.101331988793085,-5.3605347,-4.489980002025938
-2.0887404350712817,-5.376863,-4.51700300108925
-2.0761488813494786,-5.3921742,-4.5435416859795605
-2.0635573276276755,-5.4065523,-4.569601878243585
-2.0509657739058733,-5.420073,-4.595189364227909
-2.038374220184071,-5.432806,-4.620309895078993
-2.025782666462268,-5.4448147,-4.644969186743172
