theta,delta_V_learned,delta_V_true
-3.133839393980912,0.0,0.0
-3.121247840259109,-0.040941715,-0.0899014937044127
-3.1086562865373066,-0.088430405,-0.17872152037007094
-3.0960647328155044,-0.1419754,-0.26646878795417983
-3.0834731790937013,-0.20107412,-0.3531519692138172
-3.0708816253718982,-0.2652068,-0.4387797017059203
-3.058290071650095,-0.3338623,-0.5233605877873053
-3.045698517928293,-0.40653038,-0.6069031946146533
-3.03310696420649,-0.48271084,-0.6894160541445356
-3.0205154104846876,-0.5619321,-0.7709076631333751
-3.0079238567628845,-0.64373255,-0.8513864831374853
-2.9953323030410814,-0.72767735,-0.9308609405130381
-2.9827407493192784,-0.8133693,-1.0093394264160818
-2.970149195597476,-0.90042496,-1.0868302968025318
-2.957557641875673,-0.98849535,-1.163341872428191
-2.944966088153871,-1.0772643,-1.2388824388487159
-2.9323745344320677,-1.166439,-1.3134602464196519
-2.9197829807102647,-1.2557607,-1.3870835102964039
-2.9071914269884624,-1.3449922,-1.4597604104342485
-2.8945998732666594,-1.433928,-1.5314990915883504
-2.882008319544857,-1.5223885,-1.6023076633137245
-2.869416765823054,-1.6102109,-1.6721941999652774
-2.856825212101251,-1.6972661,-1.7411667406977762
-2.844233658379448,-1.7834401,-1.8092332894658623
-2.8316421046576457,-1.8686328,-1.8764018150240451
-2.8190505509358426,-1.9527721,-1.9426802509267214
-2.8064589972140404,-2.0357957,-2.0080764955281403
-2.7938674434922373,-2.1176581,-2.0725984119824417
-2.781275889770434,-2.1983256,-2.1362538282436234
-2.768684336048632,-2.2777762,-2.199050537065557
-2.756092782326829,-2.3559995,-2.2609962960019985
-2.7435012286050267,-2.4329896,-2.3220988274065584
-2.7309096748832236,-2.5087543,-2.3823658184327368
-2.7183181211614205,-2.583304,-2.4418049210338935
-2.7057265674396174,-2.656653,-2.500423751963264
-2.693135013717815,-2.7288194,-2.5582298927739524
-2.680543459996012,-2.7998328,-2.615230889818947
-2.66795190627421,-2.8697171,-2.6714342542510923
-2.6553603525524068,-2.9385,-2.72684746202312
-2.6427687988306037,-3.0062118,-2.781477953887624
-2.6301772451088006,-3.072885,-2.835333135397072
-2.6175856913869984,-3.1385474,-2.888420376903802
-2.6049941376651953,-3.2032332,-2.9407470135600335
-2.592402583943393,-3.266971,-2.9923203453178453
-2.57981103022159,-3.3297906,-3.0431476369292016
-2.567219476499787,-3.3917222,-3.0932361179459282
-2.5546279227779847,-3.4527907,-3.142592982719724
-2.5420363690561816,-3.5130248,-3.191225390402169
-2.5294448153343794,-3.5724444,-3.2391404649447026
-2.5168532616125763,-3.6310744,-3.28634529509865
-2.504261707890773,-3.688932,-3.332846934415197
-2.49167015416897,-3.746038,-3.3786524012454073
-2.479078600447168,-3.802404,-3.4237686787402115
-2.466487046725365,-3.8580432,-3.4682027148504235
-2.4538954930035626,-3.9129653,-3.511961422326715
-2.4413039392817595,-3.967176,-3.5550516787196433
-2.4287123855599564,-4.020684,-3.5974803263796287
-2.416120831838154,-4.073486,-3.6392541724569636
-2.403529278116351,-4.125582,-3.680379988901821
-2.390937724394549,-4.176969,-3.720864512464235
-2.378346170672746,-4.2276387,-3.760714444694124
-2.3657546169509427,-4.2775836,-3.7999364519412673
-2.3531630632291396,-4.3267875,-3.838537165355322
-2.3405715095073374,-4.3752418,-3.8765231808858127
-2.3279799557855343,-4.4229283,-3.913901059282147
