theta,V_unperturbed,V_perturbed_lora_poly
-4.078205923116121,5.2943935,-3.8351417
-4.065626973552197,5.4170485,-3.6813762
-4.053048023988275,5.538827,-3.527967
-4.040469074424351,5.6596837,-3.3749404
-4.027890124860429,5.779574,-3.2223263
-4.015311175296505,5.8984504,-3.0701537
-4.002732225732583,6.01627,-2.9184551
-3.9901532761686584,6.1329885,-2.767262
-3.9775743266047354,6.2485623,-2.6166081
-3.9649953770408124,6.36295,-2.466529
-3.9524164274768894,6.47611,-2.317058
-3.9398374779129663,6.588005,-2.1682358
-3.9272585283490433,6.6985955,-2.0201
-3.9146795787851203,6.807846,-1.8726909
-3.9021006292211973,6.915721,-1.726049
-3.8895216796572742,7.0221868,-1.5802166
-3.876942730093351,7.1272125,-1.4352386
-3.864363780529428,7.230767,-1.2911588
-3.851784830965505,7.3328223,-1.1480206
-3.839205881401582,7.4333515,-1.0058696
-3.8266269318376582,7.532329,-0.8647495
-3.814047982273735,7.6297317,-0.7247088
-3.801469032709812,7.7255373,-0.58578545
-3.788890083145889,7.8197246,-0.44802833
-3.776311133581966,7.912275,-0.3114714
-3.763732184018043,8.003171,-0.17615741
-3.75115323445412,8.092396,-0.042122245
-3.738574284890197,8.179935,0.09060401
-3.725995335326274,8.265777,0.22199261
-3.713416385762351,8.349903,0.35201836
-3.700837436198428,8.432309,0.48066938
-3.688258486634505,8.512984,0.6079336
-3.675679537070582,8.591918,0.73380506
-3.663100587506658,8.669102,0.8582922
-3.650521637942735,8.744529,0.9814056
-3.637942688378812,8.818194,1.1031708
-3.625363738814889,8.890092,1.2236191
-3.612784789250966,8.960216,1.3427973
-3.600205839687043,9.028562,1.4607594
-3.58762689012312,9.095128,1.5775728
-3.575047940559197,9.159909,1.6933138
-3.562468990995274,9.222901,1.8080722
-3.549890041431351,9.284104,1.9219428
-3.5373110918674278,9.343514,2.0350296
-3.524732142303504,9.401129,2.1474435
-3.5121531927395817,9.456944,2.2592921
-3.499574243175658,9.51096,2.3706825
-3.4869952936117348,9.563171,2.4817111
-3.4744163440478117,9.613578,2.5924616
-3.4618373944838887,9.662175,2.702989
-3.4492584449199657,9.7089615,2.8133173
-3.4366794953560427,9.753934,2.9234269
-3.4241005457921196,9.797089,3.0332463
-3.4115215962281966,9.838422,3.1426296
-3.3989426466642736,9.877931,3.251363
-3.3863636971003506,9.915611,3.3591456
-3.3737847475364275,9.951461,3.4655752
-3.3612057979725036,9.985473,3.570158
-3.3486268484085815,10.017646,3.6723046
-3.3360478988446576,10.047975,3.7713392
-3.3234689492807346,10.076455,3.866506
-3.3108899997168115,10.103081,3.956991
-3.2983110501528885,10.1278515,4.0419607
-3.2857321005889655,10.150762,4.120571
-3.2731531510250425,10.171805,4.192005
-3.2605742014611194,10.190981,4.2555046
-3.2479952518971964,10.208282,4.3104005
-3.2354163023332734,10.223706,4.3561277
-3.2228373527693503,10.23725,4.39224
-3.2102584032054273,10.24891,4.418426
-3.1976794536415034,10.258681,4.4345016
-3.1851005040775813,10.266561,4.4404173
-3.1725215545136574,10.272547,4.4362345
-3.1599426049497343,10.276634,4.422128
-3.1473636553858113,10.278822,4.398362
-3.1347847058218883,10.279106,4.3652716
-3.1222057562579653,10.277484,4.3232584
-3.1096268066940422,10.273953,4.272773
-3.097047857130119,10.268511,4.2142906
-3.084468907566196,10.261155,4.148314
-3.071889958002273,10.251883,4.0753527
-3.05931100843835,10.240691,3.9959192
-3.046732058874427,10.227577,3.9105194
-3.034153109310503,10.212539,3.8196461
-3.021574159746581,10.195575,3.723775
-3.008995210182657,10.176679,3.6233652
-2.996416260618734,10.155851,3.51884
-2.983837311054811,10.133088,3.4106085
-2.971258361490888,10.108388,3.2990456
-2.958679411926965,10.081746,3.1844974
-2.946100462363042,10.053162,3.0672812
