theta,V_unperturbed
-4.078205923116121,5.2943935
-4.065626973552197,5.4170485
-4.053048023988275,5.538827
-4.040469074424351,5.6596837
-4.027890124860429,5.779574
-4.015311175296505,5.8984504
-4.002732225732583,6.01627
-3.9901532761686584,6.1329885
-3.9775743266047354,6.2485623
-3.9649953770408124,6.36295
-3.9524164274768894,6.47611
-3.9398374779129663,6.588005
-3.9272585283490433,6.6985955
-3.9146795787851203,6.807846
-3.9021006292211973,6.915721
-3.8895216796572742,7.0221868
-3.876942730093351,7.1272125
-3.864363780529428,7.230767
-3.851784830965505,7.3328223
-3.839205881401582,7.4333515
-3.8266269318376582,7.532329
-3.814047982273735,7.6297317
-3.801469032709812,7.7255373
-3.788890083145889,7.8197246
-3.776311133581966,7.912275
-3.763732184018043,8.003171
-3.75115323445412,8.092396
-3.738574284890197,8.179935
-3.725995335326274,8.265777
-3.713416385762351,8.349903
-3.700837436198428,8.432309
-3.688258486634505,8.512984
-3.675679537070582,8.591918
-3.663100587506658,8.669102
-3.650521637942735,8.744529
-3.637942688378812,8.818194
-3.625363738814889,8.890092
-3.612784789250966,8.960216
-3.600205839687043,9.028562
-3.58762689012312,9.095128
-3.575047940559197,9.159909
-3.562468990995274,9.222901
-3.549890041431351,9.284104
-3.5373110918674278,9.343514
-3.524732142303504,9.401129
-3.5121531927395817,9.456944
-3.499574243175658,9.51096
-3.4869952936117348,9.563171
-3.4744163440478117,9.613578
-3.4618373944838887,9.662175
-3.4492584449199657,9.7089615
-3.4366794953560427,9.753934
-3.4241005457921196,9.797089
-3.4115215962281966,9.838422
-3.3989426466642736,9.877931
-3.3863636971003506,9.915611
-3.3737847475364275,9.951461
-3.3612057979725036,9.985473
-3.3486268484085815,10.017646
-3.3360478988446576,10.047975
-3.3234689492807346,10.076455
-3.3108899997168115,10.103081
-3.2983110501528885,10.1278515
-3.2857321005889655,10.150762
-3.2731531510250425,10.171805
-3.2605742014611194,10.190981
-3.2479952518971964,10.208282
-3.2354163023332734,10.223706
-3.2228373527693503,10.23725
-3.2102584032054273,10.24891
-3.1976794536415034,10.258681
-3.1851005040775813,10.266561
-3.1725215545136574,10.272547
-3.1599426049497343,10.276634
-3.1473636553858113,10.278822
-3.1347847058218883,10.279106
-3.1222057562579653,10.277484
-3.1096268066940422,10.273953
-3.097047857130119,10.268511
-3.084468907566196,10.261155
-3.071889958002273,10.251883
-3.05931100843835,10.240691
-3.046732058874427,10.227577
-3.034153109310503,10.212539
-3.021574159746581,10.195575
-3.008995210182657,10.176679
-2.996416260618734,10.155851
-2.983837311054811,10.133088
-2.971258361490888,10.108388
-2.958679411926965,10.081746
-2.946100462363042,10.053162
-2.933521512799119,10.022629
-2.920942563235196,9.990149
-2.908363613671273,9.955715
-2.89578466410735,9.91933
-2.883205714543427,9.880986
-2.870626764979503,9.840684
-2.858047815415581,9.798421
-2.845468865851657,9.754197
-2.832889916287734,9.708011
-2.820310966723811,9.659862
-2.807732017159888,9.60975
-2.795153067595965,9.557678
-2.782574118032042,9.503647
-2.7699951684681188,9.4476595
-2.7574162189041957,9.38972
-2.7448372693402727,9.329834
-2.7322583197763497,9.268008
-2.7196793702124267,9.204249
-2.7071004206485028,9.138567
-2.6945214710845806,9.070975
-2.6819425215206567,9.00148
-2.6693635719567337,8.930102
-2.6567846223928107,8.856854
-2.6442056728288876,8.781756
-2.6316267232649646,8.704827
-2.6190477737010416,8.626088
-2.6064688241371186,8.545564
-2.5938898745731955,8.463282
-2.5813109250092725,8.379268
-2.5687319754453486,8.29355
-2.5561530258814265,8.2061615
-2.5435740763175025,8.117136
-2.5309951267535804,8.0265045
-2.5184161771896565,7.934306
-2.5058372276257335,7.840575
-2.4932582780618104,7.7453547
-2.4806793284978874,7.6486754
-2.4681003789339644,7.5505795
-2.4555214293700414,7.451106
-2.4429424798061183,7.3502965
-2.4303635302421953,7.248187
-2.4177845806782723,7.1448193
-2.4052056311143484,7.040231
-2.3926266815504262,6.934461
-2.3800477319865023,6.827544
-2.36746878242258,6.719517
-2.3548898328586563,6.610416
-2.3423108832947332,6.500272
-2.3297319337308102,6.3891187
-2.317152984166887,6.2769866
-2.304574034602964,6.1639047
-2.291995085039041,6.0499024
-2.279416135475118,5.935004
-2.266837185911195,5.8192363
-2.254258236347272,5.702621
-2.241679286783348,5.5851827
-2.229100337219426,5.466942
-2.216521387655502,5.3479195
-2.203942438091579,5.2281327
-2.191363488527656,5.107602
-2.178784538963733,4.986344
-2.16620558939981,4.864376
-2.153626639835887,4.741715
-2.141047690271964,4.6183743
-2.128468740708041,4.494372
-2.115889791144118,4.369723
-2.103310841580195,4.244441
-2.090731892016272,4.118542
-2.078152942452348,3.9920464
-2.065573992888426,3.8649592
-2.052995043324502,3.7373004
-2.0404160937605798,3.609085
-2.027837144196656,3.4803302
-2.015258194632733,3.3510516
-2.00267924506881,3.2212658
-1.9901002955048868,3.09099
-1.9775213459409637,2.9602416
-1.9649423963770407,2.829039
-1.9523634468131177,2.697401
-1.9397844972491938,2.5653462
-1.9272055476852716,2.432895
-1.9146265981213477,2.3000674
-1.9020476485574256,2.1668844
-1.8894686989935017,2.0333676
-1.8768897494295795,1.8995392
-1.8643107998656556,1.7654226
-1.8517318503017326,1.6310395
-1.8391529007378096,1.496416
-1.8265739511738865,1.3615757
-1.8139950016099635,1.2265433
-1.8014160520460405,1.0913445
-1.7888371024821175,0.95600575
-1.776258152918194,0.8205561
-1.763679203354271,0.6850173
-1.751100253790348,0.549419
-1.738521304226425,0.4137888
-1.725942354662502,0.27815506
-1.7133634050985789,0.14254513
-1.7007844555346554,0.006988667
-1.6882055059707324,-0.1284864
-1.6756265564068094,-0.26385072
-1.6630476068428863,-0.39907646
-1.6504686572789633,-0.534135
-1.6378897077150403,-0.66899645
-1.6253107581511173,-0.80363363
-1.6127318085871938,-0.9380175
-1.6001528590232708,-1.0721203
-1.5875739094593477,-1.2059139
-1.5749949598954247,-1.3393681
-1.5624160103315017,-1.4724623
-1.5498370607675787,-1.6051661
-1.5372581112036552,-1.737455
-1.5246791616397322,-1.8693023
-1.5121002120758091,-2.0006843
-1.499521262511886,-2.1315768
-1.486942312947963,-2.2619562
